model,roc_auc,pr_auc,recall@10%FPR
lgbm,0.6893247436182265,0.2435293683607439,0.30007336757153336
ensemble,0.6879657363335032,0.24300050332377,0.29530447542186355
xgb,0.6865969174892651,0.24187566292281557,0.29310344827586204
catboost,0.683844423464423,0.23585760642880182,0.29126925898752754
logreg,0.5122502716902593,0.11482920492364418,0.11665443873807776
