gender,count,roc_auc,pr_auc,positive_rate
Female,13608,0.6857860129329312,0.23778599591431815,0.10839212228101117
Male,11549,0.6934867720506058,0.2513303487670998,0.10832106675902675
Unknown/Invalid,2,,,0.0
