race,count,roc_auc,pr_auc,positive_rate
AfricanAmerican,4773,0.6857456960260528,0.2626382043036631,0.11334590404357846
Asian,165,0.728448275862069,0.4120319900794513,0.17575757575757575
Caucasian,18844,0.6866615393377573,0.24305372762868024,0.10905327955848015
Hispanic,496,0.7440789473684211,0.18168473851735292,0.08064516129032258
Other,361,0.749055585536967,0.21969869304493125,0.09418282548476455
